Ridge_forecast,Lasso_forecast,GradientBoostingRegressor_forecast,XGBRegressor_forecast,RNN_forecast,LSTM_forecast,BidirectionalLSTM_forecast
2916.345601192117,2891.265059270912,2897.3723832015685,2900.209228515625,2932.5751953125,3035.495361328125,2818.346923828125
2900.5152201324463,2897.914327023694,2888.404373721781,2883.426025390625,2934.228515625,3019.952392578125,2811.540771484375
2898.9139012934907,2865.881437301084,2892.6833628387735,2870.586669921875,2916.081787109375,3014.729736328125,2802.656494140625
2902.278506071785,2887.348068592522,2893.2412597385264,2888.14697265625,2907.33349609375,3007.66650390625,2780.8115234375
2886.556101658924,2888.7917006784787,2883.463612571119,2881.646484375,2899.3125,2998.32763671875,2783.712646484375
2915.722060263495,2931.210406783433,2897.714565048761,2899.1826171875,2886.543212890625,2995.79736328125,2778.71142578125
2909.264816057319,2878.1127301781867,2905.0212343980265,2909.443115234375,2884.209716796875,2992.965087890625,2776.701904296875
2917.872625048944,2895.1639211895613,2880.9655503599897,2878.94384765625,2881.72412109375,2984.365478515625,2775.48583984375
2896.134730218544,2895.888299283049,2878.5056511014336,2875.769287109375,2878.01171875,2981.235595703125,2772.724365234375
2901.9983286697634,2886.5754069869304,2895.8287554870126,2890.123779296875,2880.491455078125,2967.261474609375,2770.499267578125
2916.214598749276,2942.495656733175,2902.2943918848773,2907.322265625,2872.82958984375,2979.401123046875,2766.291748046875
2928.6999088739767,2919.819529413094,2901.6768676696856,2895.48193359375,2887.42529296875,2969.231689453125,2777.209716796875
2954.353121260881,2923.7513174674727,2921.961063586983,2930.703857421875,2874.4169921875,2981.907470703125,2773.827880859375
2932.0841619877956,2925.2317348164793,2908.784518622057,2908.4453125,2892.2333984375,2984.96728515625,2778.67333984375
2926.3604125580805,2919.2969762285534,2925.396619383684,2911.137451171875,2894.22216796875,2984.491943359375,2791.2119140625
2913.010769208006,2893.1377260580134,2910.7689541771547,2899.386962890625,2889.864990234375,2997.550048828125,2786.2001953125
2917.9217317213643,2929.514099279984,2900.2213878854095,2888.086181640625,2900.313720703125,2982.695068359375,2784.4990234375
2932.7746952705506,2927.6762827962953,2936.366637430386,2938.984619140625,2893.67041015625,2991.703857421875,2790.069580078125
2942.2793374014936,2915.0729387194237,2935.8727174450114,2930.379638671875,2897.16552734375,2993.46533203125,2785.801513671875
2940.957315152537,2904.3091363932176,2912.749230983271,2905.826904296875,2897.80224609375,2998.7021484375,2788.978759765625
2905.9243719157507,2873.6717271705124,2892.566900775305,2876.683837890625,2897.458984375,2993.89208984375,2791.3134765625
2873.3845000144283,2815.630934584145,2887.1647718656823,2871.565185546875,2887.031494140625,2990.98974609375,2778.21533203125
2862.764753964516,2851.663684950961,2875.9048348548404,2881.067626953125,2885.232421875,2977.399169921875,2764.453857421875
2860.564276530241,2843.803688006317,2875.0907177480485,2880.467529296875,2873.25634765625,2966.458740234375,2760.039794921875
2889.6262366879146,2876.1644347617635,2892.9339744380536,2897.115966796875,2858.62353515625,2961.500732421875,2739.886962890625
2881.481211731476,2858.159825670496,2864.5331231524206,2877.9697265625,2854.8349609375,2957.42626953125,2731.07861328125
2886.1196801790516,2851.478086656441,2855.8216843465157,2848.806640625,2848.5283203125,2950.73046875,2738.9794921875
2885.0699267898144,2876.393575952264,2859.4110295229834,2855.775390625,2841.272216796875,2952.6962890625,2736.911376953125
2891.1358024945503,2870.8094572539826,2854.731101181145,2855.774169921875,2851.19384765625,2941.506103515625,2743.1865234375
2895.2430222294074,2873.304470539489,2880.622628352891,2861.026611328125,2838.28564453125,2947.864501953125,2741.552734375
2866.67498066884,2813.394688473101,2857.052844198707,2854.394775390625,2847.621337890625,2934.796630859375,2735.713134765625
