date,Prophet_forecast,NeuralProphet_forecast,ElasticNet_forecast,Gboosting_forecast,XGBoost_forecast,Stacking_ml_forecast,Stacking_dl_forecast,Stacking_ml-dl_forecast,Ensemble_forecast,close,RNN_forecast,LSTM_forecast,BidirectionalLSTM_forecast,ESM_forecast,Ensemble_ml_forecast,Ensemble_dl_forecast,Ensemble_ml_dl_forecast,Weighted_ml_forecast,Weighted_dl_forecast,Weighted_ml_dl_forecast
2022-10-03,4296.371035055574,4279.43115234375,4600.201358673099,4466.977327192589,4381.0327,4607.5316992199305,4461.791900428514,4607.452625312086,4494.947614186203,4608.259765625,4568.445,4551.5713,4597.9873,4540.011883954217,4482.737133569813,4572.667866666667,4527.70250011824,4483.416535869851,4572.689210696311,4528.04267796308
2022-10-04,4307.467355445689,4289.6865234375,4534.665739651904,4476.306826459139,4397.4097,4528.453843692338,4484.172352851196,4528.379994104516,4470.2883446700025,4528.27001953125,4627.8647,4623.021,4682.5225,4544.688022002454,4469.460744693264,4644.469399999999,4556.965072346632,4469.847482255193,4644.507967723982,4557.157778017634
2022-10-05,4307.436924096288,4290.16064453125,4498.087829643446,4466.977327192589,4455.0845,4494.840127211659,4480.281015275015,4494.76824070006,4474.3957383586785,4494.759765625,4622.432,4541.9243,4621.6436,4549.368976396464,4473.383209830761,4595.333299999999,4534.358254915381,4473.524196467159,4595.335560484627,4534.4159670988865
2022-10-06,4305.410182758101,4285.6240234375,4465.9354965130115,4408.975738464987,4397.189,4462.3024228337745,4489.90979846212,4462.232603187274,4432.824636891375,4462.15283203125,4596.4233,4542.073,4591.8706,4554.054752097006,4424.033399940583,4576.788966666667,4500.411183303625,4424.269950408178,4576.787668241938,4500.511391151556
2022-10-07,4303.876331130805,4285.0224609375,4599.25082913189,4462.058407296192,4400.746,4610.804245632081,4501.765736053218,4610.72490904881,4498.629461126799,4611.759765625,4590.846,4532.2026,4579.074,4558.745354069943,4487.351776726027,4567.374199999999,4527.362988363014,4487.9926634412295,4567.3679799223,4527.671256682275
2022-10-10,4301.396063368589,4279.85009765625,4615.450532968716,4471.797282280128,4379.946,4617.8317227800535,4499.178887459357,4617.7519945585245,4493.259513430575,4618.259765625,4599.2085,4584.658,4619.2295,4572.8461673585625,4489.064538676698,4601.032,4545.048269338349,4489.79535260299,4601.04657387728,4545.408257876443
2022-10-11,4312.242035767984,4290.96142578125,4605.096764046473,4476.306826459139,4408.198,4604.13838233254,4572.55185420743,4604.059724849955,4498.529054890757,4604.27978515625,4664.488,4657.7275,4715.043,4577.556124182132,4496.533944231037,4679.086166666667,4587.810055448852,4497.1583771023,4679.121919083095,4588.1193670805615
2022-10-12,4312.015873660863,4292.38037109375,4605.459391407692,4418.714613448923,4453.9976,4605.325724173484,4553.370758567438,4605.246819014053,4493.166656804635,4605.509765625,4690.254,4612.308,4705.831,4582.270932184261,4492.723854483455,4669.464333333333,4581.094093908395,4493.339665421922,4669.478001348509,4581.3887176364415
2022-10-13,4309.857702104432,4288.8681640625,4606.8311789337295,4418.714613448923,4404.14,4606.047458786896,4571.358732775227,4605.968507671564,4478.913519358816,4606.16015625,4703.1875,4655.4736,4711.3394,4586.990596361585,4476.561976367134,4690.000166666668,4583.281071516901,4477.290595364221,4690.007561532074,4583.624785263878
2022-10-14,4308.266115193884,4289.361328125,4576.852955057097,4418.714613448923,4404.565,4573.9612453668815,4556.634244771958,4573.884249251972,4467.982679716491,4573.9599609375,4708.6323,4651.872,4703.839,4591.715121715882,4466.710836637423,4688.114433333333,4577.412634985379,4467.327443476705,4688.113050129169,4577.6950321455315
2022-10-17,4306.139720173064,4287.79248046875,4683.8126252934235,4418.714613448923,4387.984,4695.267567195585,4544.210381822933,4695.182919826795,4501.486649853431,4696.259765625,4676.5713,4643.5117,4677.487,4605.91791493574,4496.837041820366,4665.856666666667,4581.346854243516,4497.885849235945,4665.858465651211,4581.852974254778
2022-10-18,4317.302931154265,4300.173828125,4728.084134396504,4423.224157627934,4409.07,4732.688322098188,4592.739054009749,4732.601498422172,4523.9782891970535,4733.259765625,4738.9497,4729.016,4796.75,4610.661935118862,4520.12603874773,4754.905233333334,4637.515636040532,4521.28638159569,4754.946186672125,4638.0895991881625
2022-10-19,4317.502202605418,4302.87646484375,4758.1800073955255,4471.797282280128,4453.9976,4759.96049594464,4671.485276667259,4759.8717675409525,4558.580371069293,4760.35986328125,4793.0693,4715.0234,4824.7793,4615.410841565245,4561.324949423134,4777.624000000001,4669.474474711568,4562.424695067445,4777.649005322309,4670.012270661226
2022-10-20,4315.880327001891,4300.6494140625,4829.5372931019865,4418.714613448923,4404.14,4837.497676327707,4690.987412138038,4837.4040222319645,4553.148890748235,4838.259765625,4837.3164,4796.5205,4873.1494,4620.164639307663,4550.797347756553,4835.6621,4693.229723878277,4552.351278511451,4835.688699657697,4693.987630743317
2022-10-21,4314.936598963559,4302.4169921875,4894.863140125597,4418.714613448923,4404.565,4901.526028581157,4737.232422016177,4901.428223764307,4576.939147047772,4902.25,4913.227,4867.6333,4961.003,4624.923333384068,4572.714231660257,4913.954433333333,4743.3343324967955,4574.509331267108,4913.989590951069,4744.210691016355
